,coef,std_err,p_value
Intercept,23.331168831168828,1.3465399834313694,2.9553860904961445e-67
treated,-2.922913379455465,1.4358961715813705,0.04179031855653418
post,-2.1655844155844792,1.218028373695133,0.07541329859549746
did,2.7847584309557543,1.3064557462795592,0.033044948481229935
